#th(º)				ph(º)			Eth(V/m)		Eth(º)		Eph(V/m)		Eph(º)
-1.800000000000000000e+02 -9.000000000000000000e+01 1.528135975361510255e-06 1.570511400000000037e+02 8.894171512572751086e-07 7.374850100000000452e+01
-1.800000000000000000e+02 -8.700000000000000000e+01 1.521314483717162327e-06 1.587927799999999934e+02 9.010388151166101952e-07 7.880667800000000511e+01
-1.800000000000000000e+02 -8.400000000000000000e+01 1.511744857703056668e-06 1.605529400000000066e+02 9.170056256714901753e-07 8.371132900000000632e+01
-1.800000000000000000e+02 -8.100000000000000000e+01 1.499475934360586318e-06 1.623389099999999985e+02 9.369350804896936399e-07 8.842771500000000628e+01
-1.800000000000000000e+02 -7.800000000000000000e+01 1.484583057677258105e-06 1.641573099999999954e+02 9.603631777877943102e-07 9.293128299999999342e+01
-1.800000000000000000e+02 -7.500000000000000000e+01 1.467144871972764541e-06 1.660163900000000012e+02 9.867917274015804132e-07 9.720602200000000437e+01
-1.800000000000000000e+02 -7.200000000000000000e+01 1.447264801872873595e-06 1.679230000000000018e+02 1.015724668226403633e-06 1.012481599999999986e+02
-1.800000000000000000e+02 -6.900000000000000000e+01 1.425064429650310977e-06 1.698858600000000081e+02 1.046634388659126395e-06 1.050582200000000057e+02
-1.800000000000000000e+02 -6.600000000000000000e+01 1.400696359846319762e-06 1.719142300000000034e+02 1.079038647711232676e-06 1.086449900000000071e+02
-1.800000000000000000e+02 -6.300000000000000000e+01 1.374299852866884657e-06 1.740171400000000119e+02 1.112456402870146962e-06 1.120189500000000038e+02
-1.800000000000000000e+02 -6.000000000000000000e+01 1.346061801399937769e-06 1.762062200000000018e+02 1.146458926142683579e-06 1.151943100000000015e+02
-1.800000000000000000e+02 -5.700000000000000000e+01 1.316191252130939247e-06 1.784917800000000057e+02 1.180637300506308825e-06 1.181862399999999980e+02
-1.800000000000000000e+02 -5.400000000000000000e+01 1.284891629827782422e-06 -1.791144099999999924e+02 1.214625795018093535e-06 1.210095299999999980e+02
-1.800000000000000000e+02 -5.100000000000000000e+01 1.252432993663913110e-06 -1.765981400000000008e+02 1.248065849886045017e-06 1.236810499999999990e+02
-1.800000000000000000e+02 -4.800000000000000000e+01 1.219090648895023360e-06 -1.739463599999999985e+02 1.280656033751469569e-06 1.262143700000000024e+02
-1.800000000000000000e+02 -4.500000000000000000e+01 1.185164133506153766e-06 -1.711433700000000044e+02 1.312113790464709537e-06 1.286239600000000110e+02
-1.800000000000000000e+02 -4.200000000000000000e+01 1.150999142292231801e-06 -1.681747699999999952e+02 1.342193094290090127e-06 1.309230599999999924e+02
-1.800000000000000000e+02 -3.900000000000000000e+01 1.116948116202850734e-06 -1.650244999999999891e+02 1.370660823936841244e-06 1.331240500000000111e+02
-1.800000000000000000e+02 -3.600000000000000000e+01 1.083425367468167693e-06 -1.616781400000000133e+02 1.397307531784520487e-06 1.352377999999999929e+02
-1.800000000000000000e+02 -3.300000000000000000e+01 1.050854286294053787e-06 -1.581201000000000079e+02 1.421958756528358396e-06 1.372754500000000064e+02
-1.800000000000000000e+02 -3.000000000000000000e+01 1.019716625230515372e-06 -1.543401499999999942e+02 1.444459933946377339e-06 1.392464500000000100e+02
-1.800000000000000000e+02 -2.700000000000000000e+01 9.904943441401012668e-07 -1.503294999999999959e+02 1.464647113384222230e-06 1.411601200000000063e+02
-1.800000000000000000e+02 -2.400000000000000000e+01 9.637047509291481914e-07 -1.460843399999999974e+02 1.482415679961654297e-06 1.430245600000000081e+02
-1.800000000000000000e+02 -2.100000000000000000e+01 9.398466548532932889e-07 -1.416110500000000059e+02 1.497645410669761491e-06 1.448482799999999884e+02
-1.800000000000000000e+02 -1.800000000000000000e+01 9.194296396719802304e-07 -1.369215299999999900e+02 1.510274883649476292e-06 1.466381700000000023e+02
-1.800000000000000000e+02 -1.500000000000000000e+01 9.029121559703465567e-07 -1.320400099999999952e+02 1.520204451814925548e-06 1.484014099999999985e+02
-1.800000000000000000e+02 -1.200000000000000000e+01 8.906990723405261148e-07 -1.269997500000000059e+02 1.527390200819721434e-06 1.501452800000000138e+02
-1.800000000000000000e+02 -9.000000000000000000e+00 8.831063345801853425e-07 -1.218469500000000068e+02 1.531789188814404655e-06 1.518753299999999911e+02
-1.800000000000000000e+02 -6.000000000000000000e+00 8.803310093580999102e-07 -1.166331299999999942e+02 1.533386021971630237e-06 1.535989399999999989e+02
-1.800000000000000000e+02 -3.000000000000000000e+00 8.824518136026456542e-07 -1.114155099999999976e+02 1.532168396302001384e-06 1.553223299999999938e+02
-1.800000000000000000e+02 -1.272221899999999966e-14 8.894212471840547570e-07 -1.062514199999999960e+02 1.528135975361510255e-06 1.570511400000000037e+02
-1.800000000000000000e+02 3.000000000000000000e+00 9.010315536309668441e-07 -1.011934300000000064e+02 1.521314483717162327e-06 1.587927799999999934e+02
-1.800000000000000000e+02 6.000000000000000000e+00 9.170014027142455733e-07 -9.628872400000000198e+01 1.511744857703056668e-06 1.605529400000000066e+02
-1.800000000000000000e+02 9.000000000000000000e+00 9.369286083937983152e-07 -9.157234599999999602e+01 1.499475934360586318e-06 1.623389099999999985e+02
-1.800000000000000000e+02 1.200000000000000000e+01 9.603532269086330968e-07 -8.706881099999999662e+01 1.484583057677258105e-06 1.641573099999999954e+02
-1.800000000000000000e+02 1.500000000000000000e+01 9.867939995761159820e-07 -8.279395999999999844e+01 1.467144871972764541e-06 1.660163900000000012e+02
-1.800000000000000000e+02 1.800000000000000000e+01 1.015716482485709592e-06 -7.875189500000000464e+01 1.447264801872873595e-06 1.679230000000000018e+02
-1.800000000000000000e+02 2.100000000000000000e+01 1.046638003612480381e-06 -7.494175400000000309e+01 1.425064429650310977e-06 1.698858600000000081e+02
-1.800000000000000000e+02 2.400000000000000000e+01 1.079029951722205783e-06 -7.135505000000000564e+01 1.400696359846319762e-06 1.719142300000000034e+02
-1.800000000000000000e+02 2.700000000000000000e+01 1.112453841347565884e-06 -6.798105999999999938e+01 1.374299852866884657e-06 1.740171400000000119e+02
-1.800000000000000000e+02 3.000000000000000000e+01 1.146456286326489257e-06 -6.480570799999999565e+01 1.346061801399937769e-06 1.762062200000000018e+02
-1.800000000000000000e+02 3.300000000000000000e+01 1.180648174627778490e-06 -6.181372199999999850e+01 1.316191252130939247e-06 1.784917800000000057e+02
-1.800000000000000000e+02 3.600000000000000000e+01 1.214621599856465172e-06 -5.899047900000000055e+01 1.284891629827782422e-06 -1.791144099999999924e+02
-1.800000000000000000e+02 3.900000000000000000e+01 1.248064412997962820e-06 -5.631895800000000207e+01 1.252432993663913110e-06 -1.765981400000000008e+02
-1.800000000000000000e+02 4.200000000000000000e+01 1.280656033751469569e-06 -5.378562900000000013e+01 1.219090648895023360e-06 -1.739463599999999985e+02
-1.800000000000000000e+02 4.500000000000000000e+01 1.312113790464709537e-06 -5.137604000000000326e+01 1.185164133506153766e-06 -1.711433700000000044e+02
-1.800000000000000000e+02 4.800000000000000000e+01 1.342199275331945070e-06 -4.907690999999999804e+01 1.150999142292231801e-06 -1.681747699999999952e+02
-1.800000000000000000e+02 5.100000000000000000e+01 1.370660823936841244e-06 -4.687595000000000312e+01 1.116948116202850734e-06 -1.650244999999999891e+02
-1.800000000000000000e+02 5.400000000000000000e+01 1.397317184076338656e-06 -4.476215299999999786e+01 1.083425367468167693e-06 -1.616781400000000133e+02
-1.800000000000000000e+02 5.700000000000000000e+01 1.421960393619820282e-06 -4.272454100000000210e+01 1.050854286294053787e-06 -1.581201000000000079e+02
-1.800000000000000000e+02 6.000000000000000000e+01 1.444449956005107443e-06 -4.075360799999999983e+01 1.019716625230515372e-06 -1.543401499999999942e+02
-1.800000000000000000e+02 6.300000000000000000e+01 1.464643740913494731e-06 -3.883990800000000121e+01 9.904943441401012668e-07 -1.503294999999999959e+02
-1.800000000000000000e+02 6.600000000000000000e+01 1.482408853200882988e-06 -3.697548799999999858e+01 9.637047509291481914e-07 -1.460843399999999974e+02
-1.800000000000000000e+02 6.900000000000000000e+01 1.497652307597634655e-06 -3.515165600000000268e+01 9.398466548532932889e-07 -1.416110500000000059e+02
-1.800000000000000000e+02 7.200000000000000000e+01 1.510273144882258672e-06 -3.336184399999999783e+01 9.194296396719802304e-07 -1.369215299999999900e+02
-1.800000000000000000e+02 7.500000000000000000e+01 1.520204451814925548e-06 -3.159859000000000151e+01 9.029121559703465567e-07 -1.320400099999999952e+02
-1.800000000000000000e+02 7.800000000000000000e+01 1.527393717769675497e-06 -2.985467699999999880e+01 8.906990723405261148e-07 -1.269997500000000059e+02
-1.800000000000000000e+02 8.100000000000000000e+01 1.531798006527163089e-06 -2.812458600000000075e+01 8.831063345801853425e-07 -1.218469500000000068e+02
-1.800000000000000000e+02 8.400000000000000000e+01 1.533391318108469409e-06 -2.640101699999999951e+01 8.803310093580999102e-07 -1.166331299999999942e+02
-1.800000000000000000e+02 8.700000000000000000e+01 1.532168396302001384e-06 -2.467767399999999967e+01 8.824518136026456542e-07 -1.114155099999999976e+02
-1.800000000000000000e+02 9.000000000000000000e+01 1.528135975361510255e-06 -2.294886400000000037e+01 8.894212471840547570e-07 -1.062514199999999960e+02
-1.790000000000000000e+02 -9.000000000000000000e+01 1.558292570215938892e-06 1.597543799999999976e+02 8.718554767285299942e-07 7.888700199999999541e+01
-1.790000000000000000e+02 -8.700000000000000000e+01 1.549861892116637724e-06 1.615710300000000075e+02 8.887170250960799939e-07 8.395879999999999654e+01
-1.790000000000000000e+02 -8.400000000000000000e+01 1.538848976431830509e-06 1.634086700000000008e+02 9.094346561525819343e-07 8.881970499999999902e+01
-1.790000000000000000e+02 -8.100000000000000000e+01 1.525328904213847505e-06 1.652734600000000000e+02 9.335186526150578781e-07 9.344687700000000063e+01
-1.790000000000000000e+02 -7.800000000000000000e+01 1.509393585397866224e-06 1.671714599999999962e+02 9.604571633987533509e-07 9.783047600000000443e+01
-1.790000000000000000e+02 -7.500000000000000000e+01 1.491159157676183416e-06 1.691074199999999905e+02 9.897260472054111704e-07 1.019664599999999979e+02
-1.790000000000000000e+02 -7.200000000000000000e+01 1.470735244774322692e-06 1.710886199999999917e+02 1.020832527908890041e-06 1.058622100000000046e+02
-1.790000000000000000e+02 -6.900000000000000000e+01 1.448261547606897968e-06 1.731210700000000031e+02 1.053286456691240863e-06 1.095266000000000020e+02
-1.790000000000000000e+02 -6.600000000000000000e+01 1.423885278861612923e-06 1.752120400000000018e+02 1.086657045100037812e-06 1.129746300000000048e+02
-1.790000000000000000e+02 -6.300000000000000000e+01 1.397749997004567594e-06 1.773696199999999976e+02 1.120535190140726553e-06 1.162197000000000031e+02
-1.790000000000000000e+02 -6.000000000000000000e+01 1.370045529761732174e-06 1.796012200000000121e+02 1.154552005495829575e-06 1.192799200000000042e+02
-1.790000000000000000e+02 -5.700000000000000000e+01 1.340932756762983319e-06 -1.780837199999999996e+02 1.188368140253384581e-06 1.221699899999999985e+02
-1.790000000000000000e+02 -5.400000000000000000e+01 1.310644773517551204e-06 -1.756767499999999984e+02 1.221682913889047102e-06 1.249059199999999947e+02
-1.790000000000000000e+02 -5.100000000000000000e+01 1.279388668889520288e-06 -1.731669400000000110e+02 1.254223691304853787e-06 1.275021799999999956e+02
-1.790000000000000000e+02 -4.800000000000000000e+01 1.247396439239988799e-06 -1.705441899999999862e+02 1.285752862874207182e-06 1.299728700000000003e+02
-1.790000000000000000e+02 -4.500000000000000000e+01 1.214934878444381331e-06 -1.677973100000000102e+02 1.316042759032610742e-06 1.323305400000000134e+02
